people_ID,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20
51,226,286,359,447,552,675,825
52,241,305,380,471,580,709,866
53,416,513,630,774,943,"1,144","1,389"
54,116,153,200,255,322,399,493
55,318,395,488,603,740,901,"1,095"
56,363,452,556,685,837,"1,017","1,236"
57,224,283,356,443,548,670,820
58,253,320,398,493,609,744,907
59,347,432,534,659,805,979,"1,188"
60,236,298,372,461,569,696,849
61,125,163,212,269,337,417,517
62,242,304,381,471,580,709,865
63,251,316,395,492,607,741,904
64,366,454,562,692,844,"1,026","1,245"
65,223,281,351,439,542,664,813
66,288,359,446,551,678,826,"1,006"
67,305,381,474,583,716,873,"1,061"
68,327,405,501,619,757,922,"1,121"
69,358,446,551,676,827,"1,006","1,223"
70,208,266,334,419,517,634,776
71,210,265,332,416,514,629,771
72,234,294,367,458,564,690,842
73,114,151,196,253,318,395,488
74,313,392,487,602,738,898,"1,093"
75,390,481,594,730,890,"1,081","1,311"
76,239,303,380,474,584,714,873
77,446,548,674,826,"1,005","1,220","1,479"
78,225,284,356,445,551,674,825
79,445,547,671,819,998,"1,211","1,468"
80,272,339,421,522,641,782,954
81,323,404,500,616,755,919,"1,119"
82,159,205,261,328,410,505,621
83,235,297,371,463,572,699,854
84,295,370,458,566,693,845,"1,028"
85,143,185,238,304,378,467,576
86,397,492,605,744,908,"1,103","1,339"
87,183,235,296,371,462,567,697
88,244,308,385,476,587,718,875
89,280,349,434,539,663,809,985
90,276,347,431,532,652,795,970
91,390,481,593,729,891,"1,083","1,314"
92,421,519,640,785,958,"1,163","1,410"
93,303,379,470,580,712,867,"1,056"
94,425,526,645,791,965,"1,170","1,419"
95,217,275,345,430,532,652,797
96,129,169,219,279,349,432,533
97,134,174,225,285,357,442,546
98,149,195,248,314,393,485,598
99,349,433,536,659,808,982,"1,193"
100,356,441,545,670,819,996,"1,210"
101,193,245,308,387,480,589,722
102,390,483,596,732,893,"1,084","1,317"
103,244,307,385,478,589,720,878
104,332,414,511,630,773,940,"1,144"
105,136,179,230,291,365,451,555
106,360,446,551,677,829,"1,008","1,224"
107,230,289,363,454,560,685,839
108,274,345,429,533,656,800,974
109,353,440,542,665,812,988,"1,202"
110,254,319,397,491,605,740,902
111,413,511,629,771,941,"1,143","1,386"
112,320,399,495,609,747,909,"1,105"
113,332,414,514,634,776,944,"1,149"
114,400,493,607,745,909,"1,104","1,339"
115,200,253,319,397,492,603,738
116,270,339,422,523,644,786,957
117,179,229,289,363,452,555,681
118,254,321,399,497,611,746,912
119,382,473,582,717,874,"1,061","1,288"
120,344,426,526,646,790,961,"1,170"
121,337,420,521,641,785,955,"1,159"
122,199,252,319,399,492,604,741
123,252,318,396,493,607,741,903
124,294,367,456,564,694,846,"1,030"
125,115,151,198,252,316,393,486
126,204,260,327,410,508,623,763
127,442,545,671,821,"1,001","1,215","1,473"
128,229,290,363,452,558,683,835
129,248,314,392,488,601,734,896
130,371,459,565,696,851,"1,034","1,256"
131,295,370,459,567,698,850,"1,035"
132,125,165,212,272,341,422,520
133,414,510,626,767,936,"1,136","1,377"
134,413,510,626,765,933,"1,133","1,375"
135,355,439,542,667,817,993,"1,208"
136,367,454,559,686,839,"1,020","1,237"
137,119,158,204,260,326,405,500
138,191,243,306,383,476,584,715
139,316,392,485,596,730,890,"1,083"
140,265,333,416,516,634,774,944
141,139,182,235,300,373,461,569
142,349,435,537,661,809,983,"1,195"
143,412,507,624,764,932,"1,132","1,372"
144,208,263,329,413,509,624,765
145,299,373,462,572,701,854,"1,039"
146,280,351,435,540,662,808,984
147,252,315,394,490,602,736,899
148,139,181,234,296,371,459,567
149,344,428,528,648,792,963,"1,171"
150,207,262,329,411,508,623,763
151,255,322,403,498,613,748,912
152,179,228,288,360,447,550,674
153,143,187,241,306,384,474,584
154,348,432,533,655,799,972,"1,182"
155,279,349,434,539,661,806,981
156,285,356,444,550,676,824,"1,004"
157,256,321,402,500,617,753,918
158,249,314,393,488,599,732,894
159,227,285,358,444,549,672,821
160,155,202,258,324,404,497,612
161,256,320,398,493,608,742,907
162,315,392,485,598,732,891,"1,084"
163,317,396,492,605,740,901,"1,095"
164,291,363,452,558,686,836,"1,017"
165,268,336,417,517,634,773,942
166,177,226,288,362,450,553,679
167,177,226,287,361,448,550,676
168,268,335,417,515,633,772,941
169,364,450,556,682,833,"1,013","1,232"
170,182,231,293,368,457,562,690
171,364,452,558,685,839,"1,020","1,238"
172,444,549,674,827,"1,008","1,222","1,483"
173,390,484,595,729,890,"1,081","1,312"
174,405,499,615,755,920,"1,116","1,354"
175,396,489,601,739,901,"1,094","1,327"
176,417,513,630,774,946,"1,148","1,392"
177,119,158,206,263,330,409,507
178,220,277,349,435,539,659,805
179,318,398,494,610,746,908,"1,106"
180,216,272,343,428,528,646,791
181,203,258,326,409,506,620,760
182,146,191,244,310,388,478,589
183,399,494,609,746,911,"1,107","1,343"
184,324,403,498,615,752,915,"1,113"
185,277,346,432,535,656,800,975
186,377,465,574,705,862,"1,047","1,270"
187,228,289,363,453,558,682,834
188,394,489,603,742,904,"1,098","1,332"
189,247,310,388,483,597,729,888
190,371,458,564,695,848,"1,031","1,252"
191,167,214,273,342,424,522,640
192,437,538,663,810,987,"1,198","1,451"
193,396,488,601,738,902,"1,095","1,330"
194,151,194,250,317,395,487,600
195,165,212,270,338,421,518,635
196,182,232,293,369,458,563,690
197,260,325,404,500,616,752,917
198,327,406,504,621,762,928,"1,129"
199,277,348,432,535,657,801,977
200,381,473,582,716,873,"1,061","1,289"
201,237,299,375,464,572,699,854
202,257,323,403,499,614,750,915
203,177,225,286,361,449,551,676
204,114,153,200,255,321,398,493
205,357,444,550,674,825,"1,003","1,217"
206,290,364,451,559,685,835,"1,015"
207,117,154,201,257,325,403,498
208,310,388,482,593,728,887,"1,080"
209,111,148,192,247,313,388,482
210,152,196,252,317,397,490,602
211,244,309,387,481,593,724,883
212,342,423,523,644,789,960,"1,166"
213,372,462,569,699,853,"1,036","1,258"
214,295,370,461,567,697,850,"1,036"
215,259,327,406,505,622,760,927
216,237,299,373,466,573,701,857
217,252,318,396,493,608,742,907
218,172,219,277,348,432,531,651
219,366,453,558,686,838,"1,018","1,237"
220,273,343,428,531,654,798,971
221,372,462,571,702,858,"1,043","1,267"
222,296,370,461,568,698,850,"1,037"
223,411,506,622,762,929,"1,127","1,366"
224,390,481,594,727,886,"1,077","1,308"
225,369,458,566,697,851,"1,034","1,255"
226,247,312,391,486,598,731,890
227,403,499,615,756,923,"1,121","1,359"
228,190,243,308,388,479,588,720
229,236,297,372,463,570,697,850
230,323,404,499,616,756,920,"1,119"
231,391,482,594,727,889,"1,079","1,311"
232,295,370,458,564,693,845,"1,030"
233,133,174,225,285,358,443,545
234,138,179,231,293,368,454,560
235,162,209,268,338,420,517,637
236,383,474,585,717,876,"1,064","1,292"
237,219,276,346,433,534,654,798
238,335,416,513,634,775,944,"1,148"
239,160,205,263,330,410,504,622
240,280,352,438,542,665,811,987
241,240,303,378,471,581,710,869
242,278,349,433,534,655,799,975
243,411,509,625,765,932,"1,131","1,371"
244,372,462,571,704,860,"1,045","1,270"
245,330,412,510,628,769,936,"1,137"
246,194,246,310,389,483,593,727
247,266,335,416,516,635,775,945
248,252,316,395,489,602,736,899
249,193,247,311,391,484,593,728
250,274,345,430,534,657,801,975
251,396,488,600,738,900,"1,093","1,326"
252,397,490,603,738,902,"1,095","1,331"
253,238,302,377,469,577,705,862
254,362,448,552,681,831,"1,010","1,225"
255,165,212,269,337,421,518,638
256,317,394,490,606,743,905,"1,101"
257,408,505,622,763,932,"1,131","1,373"
258,199,253,320,399,492,604,741
259,258,323,404,499,615,752,917
260,418,515,632,773,942,"1,143","1,388"
261,202,257,325,408,504,618,755
262,184,237,301,379,471,578,710
263,174,225,284,357,443,545,668
264,275,345,429,531,653,797,972
265,379,471,579,711,867,"1,054","1,281"
266,206,262,330,412,509,624,765
267,116,153,199,255,323,401,495
268,226,287,359,445,548,671,820
269,275,343,428,532,653,796,969
270,382,471,581,713,873,"1,060","1,289"
271,433,535,656,803,978,"1,187","1,439"
272,293,365,454,561,687,838,"1,020"
273,230,292,365,452,559,684,836
274,162,210,269,341,423,520,639
275,158,203,260,326,407,502,617
276,180,230,293,366,453,556,681
277,439,543,667,816,995,"1,207","1,463"
278,371,459,566,698,854,"1,037","1,260"
279,397,492,607,745,909,"1,104","1,341"
280,157,204,262,329,409,504,621
281,278,349,435,537,660,805,982
282,153,198,251,318,398,491,604
283,441,543,668,818,996,"1,208","1,465"
284,173,222,283,354,440,541,663
285,325,404,501,616,753,917,"1,114"
286,286,358,446,552,676,824,"1,004"
287,314,393,486,599,734,894,"1,089"
288,155,199,254,321,399,492,606
289,373,462,568,700,856,"1,040","1,264"
290,434,536,660,808,985,"1,195","1,449"
291,372,459,565,693,847,"1,029","1,249"
292,333,416,514,635,778,947,"1,151"
293,219,276,346,433,537,657,804
294,136,178,228,288,360,445,550
295,181,233,296,370,458,563,690
296,399,494,608,747,913,"1,109","1,347"
297,403,498,613,750,913,"1,109","1,346"
298,243,307,385,476,587,717,875
299,413,511,629,773,944,"1,146","1,391"
300,323,402,499,616,754,918,"1,117"
301,403,498,611,748,912,"1,107","1,342"
302,141,185,238,303,377,466,575
303,449,552,679,829,"1,012","1,227","1,488"
304,189,241,303,378,468,575,706
305,367,456,562,692,844,"1,026","1,245"
306,211,268,337,422,524,641,784
307,202,256,323,402,498,610,748
308,153,199,254,322,402,495,608
309,285,357,444,547,672,820,999
310,302,375,466,575,706,860,"1,046"
311,411,508,624,765,933,"1,132","1,373"
312,118,158,206,261,330,409,506
313,438,541,665,816,994,"1,206","1,462"
314,435,535,656,804,979,"1,188","1,440"
315,219,279,351,436,537,658,803
316,416,513,632,777,947,"1,149","1,393"
317,110,147,192,248,314,390,482
318,392,484,598,734,896,"1,088","1,321"
319,184,234,297,373,461,567,694
320,401,497,612,751,916,"1,112","1,348"
321,362,450,556,683,834,"1,014","1,230"
322,423,521,640,786,958,"1,163","1,410"
323,418,516,634,777,948,"1,151","1,397"
324,378,469,579,713,872,"1,059","1,286"
325,264,333,414,514,631,770,940
326,259,327,408,505,623,761,927
327,311,388,480,592,725,884,"1,077"
328,388,481,593,727,886,"1,076","1,307"
329,380,470,579,711,868,"1,054","1,279"
330,365,451,558,686,838,"1,019","1,238"
331,197,252,317,398,493,604,739
332,273,343,428,529,652,795,970
333,312,387,479,591,724,882,"1,075"
334,287,360,449,557,682,831,"1,012"
335,399,494,608,746,911,"1,106","1,341"
336,389,481,594,728,889,"1,080","1,310"
337,278,347,433,537,661,806,982
338,192,243,307,385,479,588,720
339,316,393,488,601,737,898,"1,091"
340,374,462,570,698,852,"1,035","1,256"
341,185,237,300,378,469,576,707
342,388,482,595,731,891,"1,083","1,314"
343,156,202,259,327,408,503,620
344,229,290,364,453,559,684,834
345,208,264,331,413,509,624,765
346,418,518,638,780,952,"1,156","1,401"
347,355,441,543,668,819,995,"1,210"
348,360,446,551,679,831,"1,010","1,227"
349,258,326,407,507,622,759,926
350,258,326,407,503,621,758,925
351,168,217,277,348,433,533,653
352,111,147,193,246,310,385,475
353,405,500,614,752,919,"1,115","1,352"
354,156,202,257,323,402,496,609
355,344,429,531,655,803,976,"1,186"
356,261,327,408,506,623,760,928
357,236,298,374,467,575,703,859
358,294,368,456,563,692,843,"1,028"
359,317,394,487,600,736,896,"1,092"
360,324,403,499,613,752,916,"1,114"
361,369,459,566,695,848,"1,031","1,253"
362,340,423,522,644,787,957,"1,163"
363,118,156,201,256,323,401,496
364,449,553,680,832,"1,012","1,228","1,489"
365,220,279,351,439,541,663,810
366,416,514,631,772,941,"1,143","1,387"
367,443,545,670,820,"1,001","1,214","1,471"
368,421,518,638,782,954,"1,157","1,405"
369,423,523,644,787,960,"1,165","1,414"
370,356,443,546,673,824,"1,002","1,217"
371,274,344,429,533,656,800,975
372,435,535,657,807,983,"1,192","1,445"
373,190,242,306,382,472,579,710
374,231,290,364,451,558,682,833
375,189,241,304,381,472,579,710
376,156,200,254,322,400,493,607
377,258,325,406,502,618,755,919
378,418,518,637,778,948,"1,151","1,395"
379,172,219,279,352,437,538,660
380,148,192,244,309,386,476,585
381,267,335,418,518,636,776,947
382,271,338,422,525,645,787,959
383,246,309,386,480,590,721,881
384,433,533,653,800,975,"1,183","1,433"
385,157,204,261,329,411,506,622
386,161,206,263,332,413,508,625
387,220,278,348,435,537,657,803
388,307,382,475,585,718,874,"1,063"
389,257,324,406,502,616,752,917
390,283,356,442,547,672,819,998
391,221,279,350,435,538,658,806
392,309,387,478,590,725,883,"1,075"
393,264,331,414,514,631,770,940
394,242,303,379,470,579,708,865
395,273,341,425,528,650,792,967
396,270,337,420,520,638,778,950
397,313,392,487,598,733,892,"1,086"
398,169,217,276,345,428,527,647
399,341,423,524,646,789,959,"1,167"
400,132,171,221,283,355,438,540
401,292,366,456,562,688,839,"1,021"
402,342,426,528,650,795,967,"1,177"
403,308,383,473,584,715,871,"1,060"
404,292,364,451,558,683,833,"1,015"
405,151,194,248,316,393,485,595
406,356,440,542,667,814,990,"1,202"
407,376,467,575,708,866,"1,052","1,278"
408,297,370,459,565,695,847,"1,031"
409,160,208,264,333,416,512,631
410,247,309,385,477,588,719,878
411,356,442,545,670,820,997,"1,210"
412,361,449,554,680,833,"1,012","1,229"
413,211,268,338,421,521,638,779
414,355,441,546,673,823,"1,001","1,215"
415,333,416,513,633,775,943,"1,147"
416,387,477,588,721,881,"1,070","1,299"
417,338,419,518,636,777,945,"1,148"
418,180,231,294,370,459,564,692
419,336,416,515,632,775,944,"1,146"
420,349,432,534,656,804,978,"1,190"
421,418,518,637,778,948,"1,151","1,395"
422,357,444,549,676,825,"1,003","1,220"
423,150,195,249,314,393,485,597
424,168,215,274,344,427,525,646
425,137,178,231,293,368,455,561
426,331,411,508,627,769,936,"1,137"
427,174,225,286,358,446,548,673
428,410,505,621,762,928,"1,127","1,368"
429,233,295,370,459,567,694,846
430,186,236,300,376,465,571,702
431,203,259,325,407,505,619,759
432,167,213,271,342,426,524,645
433,246,311,388,483,594,726,885
434,322,401,498,613,750,913,"1,110"
435,294,367,456,561,689,840,"1,022"
436,349,435,538,664,813,989,"1,200"
437,167,213,271,340,425,523,643
438,248,311,389,485,598,730,892
439,172,219,280,352,438,539,661
440,335,416,515,635,778,947,"1,150"
441,245,308,386,481,592,724,884
442,313,390,484,596,730,889,"1,083"
443,238,299,374,466,576,704,861
444,219,276,346,433,536,656,803
445,426,527,649,795,969,"1,176","1,426"
446,264,333,414,511,628,766,935
447,425,526,647,794,968,"1,175","1,424"
448,450,556,683,835,"1,016","1,233","1,494"
449,371,458,564,691,845,"1,028","1,249"
450,225,284,357,445,548,671,820
451,233,295,368,456,564,689,841
452,228,290,362,452,556,680,830
453,356,443,546,673,822,999,"1,212"
454,139,180,231,294,366,452,559
455,239,302,378,471,581,710,868
456,348,434,535,656,803,977,"1,186"
457,184,236,297,373,463,569,699
458,177,227,287,362,450,552,677
459,195,250,315,396,492,604,739
460,183,236,298,376,466,573,701
461,123,163,212,270,340,421,521
462,251,314,392,487,600,733,895
463,407,503,618,760,926,"1,124","1,363"
464,193,248,311,390,483,592,726
465,129,170,220,279,351,435,536
466,229,291,366,456,563,689,842
467,407,501,618,760,926,"1,124","1,364"
468,180,229,291,367,456,560,688
469,337,420,519,637,779,948,"1,153"
470,356,443,547,674,823,"1,001","1,217"
471,190,241,303,380,472,579,709
472,337,418,519,637,778,947,"1,150"
473,146,188,242,309,387,477,588
474,297,371,462,571,701,854,"1,040"
475,357,443,547,675,824,"1,001","1,215"
476,275,343,426,526,646,789,960
477,214,271,339,422,521,638,782
478,144,186,238,304,381,470,578
479,132,174,223,283,356,440,544
480,126,164,212,273,342,423,523
481,340,424,525,648,795,966,"1,174"
482,443,547,671,820,"1,001","1,214","1,473"
483,407,501,616,755,920,"1,117","1,356"
484,363,450,554,679,831,"1,011","1,228"
485,374,462,568,697,853,"1,036","1,259"
486,385,475,584,717,875,"1,063","1,289"
487,343,426,525,648,792,963,"1,172"
488,129,169,217,275,345,427,528
489,159,204,260,327,406,500,614
490,248,313,391,483,594,726,885
491,270,340,423,524,646,788,959
492,284,354,439,543,668,814,994
493,137,179,231,291,365,451,556
494,123,162,208,266,335,415,513
495,150,195,248,312,390,481,592
496,411,508,625,766,935,"1,136","1,378"
497,434,535,658,808,986,"1,196","1,452"
498,145,187,241,307,384,474,583
499,417,513,631,776,946,"1,149","1,392"
500,276,345,431,533,656,800,974
501,444,548,674,825,"1,005","1,219","1,478"
502,163,211,268,336,418,515,634
503,130,172,223,285,357,442,545
504,314,392,486,597,732,892,"1,085"
505,205,260,326,408,504,618,758
506,407,503,619,761,929,"1,128","1,369"
507,146,191,245,312,388,478,589
508,265,331,413,510,626,764,933
509,147,189,241,306,383,472,582
510,166,215,275,346,432,531,653
511,282,354,441,543,667,813,991
512,288,362,451,557,684,834,"1,017"
513,343,426,527,649,794,966,"1,174"
514,219,279,349,433,534,653,800
515,269,336,417,515,633,773,943
516,331,413,510,628,770,937,"1,139"
517,340,422,523,645,789,960,"1,168"
518,289,363,452,559,687,837,"1,020"
519,125,165,215,272,343,425,526
520,189,240,302,379,469,576,706
521,412,508,624,764,932,"1,132","1,372"
522,225,283,354,439,541,662,809
523,265,333,414,513,629,768,936
524,390,481,593,726,887,"1,077","1,306"
525,169,216,273,344,427,525,645
526,345,427,527,647,792,963,"1,170"
527,175,224,285,360,449,552,678
528,139,183,236,301,378,466,576
529,110,147,191,245,308,382,474
530,330,410,506,625,765,931,"1,133"
531,337,418,517,636,777,945,"1,150"
532,340,424,525,645,788,959,"1,164"
533,409,506,624,766,933,"1,133","1,376"
534,272,339,421,520,641,782,955
535,211,267,335,418,516,633,774
536,163,212,269,338,420,517,635
537,224,285,356,442,547,669,817
538,115,151,195,252,317,393,487
539,354,441,546,672,821,998,"1,212"
540,241,304,382,474,585,715,873
541,216,273,342,427,529,647,792
542,265,333,415,513,629,768,938
543,199,252,318,396,490,601,736
544,356,440,544,670,821,998,"1,212"
545,168,217,277,348,434,534,655
546,171,220,280,352,436,536,657
547,405,499,613,753,919,"1,116","1,353"
548,158,205,261,329,412,507,623
549,447,552,678,830,"1,010","1,225","1,485"
550,365,452,559,687,841,"1,022","1,241"
551,199,252,319,397,492,604,740
552,142,184,238,302,378,466,575
553,187,237,300,377,467,573,702
554,370,457,564,691,844,"1,026","1,247"
555,140,182,233,295,371,458,565
556,340,422,523,642,786,957,"1,164"
557,320,399,493,609,748,910,"1,106"
558,190,244,307,386,478,587,719
559,144,186,238,304,379,468,578
560,232,292,365,456,564,689,843
561,447,551,678,830,"1,012","1,227","1,487"
562,301,377,468,579,712,867,"1,055"
563,239,300,375,468,575,704,860
564,130,171,219,279,351,434,537
565,139,180,231,294,366,452,559
566,254,318,398,492,604,738,901
567,434,534,656,805,982,"1,191","1,445"
568,403,500,615,756,923,"1,121","1,360"
569,310,385,477,589,721,878,"1,067"
570,319,398,493,609,748,910,"1,108"
571,410,505,620,762,930,"1,129","1,370"
572,234,296,372,462,568,695,849
573,299,372,463,573,703,856,"1,042"
574,394,486,598,736,897,"1,089","1,321"
575,366,453,558,684,838,"1,018","1,236"
576,444,548,674,823,"1,004","1,217","1,477"
577,398,491,603,738,902,"1,096","1,329"
578,111,148,194,251,317,393,488
579,129,169,218,278,350,433,534
580,306,381,472,584,714,870,"1,058"
581,250,315,392,485,598,731,891
582,309,386,477,587,721,878,"1,070"
583,223,282,352,437,541,662,809
584,120,157,205,262,329,407,503
585,278,348,431,535,657,802,978
586,121,161,210,268,337,417,517
587,219,279,349,433,535,654,799
588,224,284,355,442,544,666,815
589,401,496,610,748,912,"1,108","1,344"
590,399,492,606,743,907,"1,102","1,336"
591,179,231,292,365,455,559,685
592,426,527,647,792,967,"1,174","1,423"
593,156,201,257,323,404,498,614
594,224,282,352,439,542,663,812
595,136,177,228,291,366,453,558
596,347,432,534,659,806,980,"1,191"
597,273,342,427,526,646,788,960
598,271,340,422,522,640,781,951
599,419,516,634,776,948,"1,150","1,396"
600,413,511,629,773,941,"1,143","1,388"
601,322,402,499,616,753,916,"1,113"
602,188,240,303,381,471,579,709
603,207,262,329,413,511,626,767
604,214,271,339,425,525,642,786
605,341,423,524,646,791,962,"1,170"
606,145,188,241,304,381,470,580
607,262,327,408,505,620,757,923
608,297,369,460,570,698,851,"1,037"
609,238,300,374,466,574,702,859
610,145,188,242,307,385,475,584
611,235,297,373,465,575,703,860
612,427,525,647,794,970,"1,177","1,427"
613,328,408,506,625,763,929,"1,131"
614,390,481,593,727,889,"1,080","1,313"
615,196,249,313,390,483,593,725
616,284,357,444,550,676,824,"1,003"
617,363,451,557,687,838,"1,018","1,238"
618,174,225,286,358,446,548,673
619,426,524,644,790,964,"1,170","1,419"
620,299,372,462,572,701,854,"1,039"
621,440,542,665,815,993,"1,205","1,460"
622,358,445,549,677,827,"1,005","1,221"
623,417,514,633,777,949,"1,152","1,398"
624,337,419,517,637,780,949,"1,155"
625,430,529,649,793,967,"1,173","1,424"
626,300,373,462,570,698,851,"1,037"
627,155,200,254,323,404,498,613
628,191,242,306,385,479,587,721
629,193,246,310,387,478,587,720
630,232,291,365,453,560,685,838
631,206,262,330,411,508,623,762
632,249,312,388,484,596,729,890
633,210,267,336,418,515,631,773
634,256,320,398,496,609,744,908
635,428,530,651,799,974,"1,182","1,433"
636,215,273,343,428,528,647,790
637,445,549,673,824,"1,002","1,216","1,473"
638,194,248,313,392,486,596,731
639,167,213,273,342,424,522,641
640,286,359,446,554,679,828,"1,010"
641,256,322,401,497,613,749,912
642,371,458,565,693,847,"1,030","1,251"
643,404,499,614,753,918,"1,115","1,353"
644,279,350,434,537,659,804,980
645,139,180,231,292,366,452,558
646,146,190,242,306,383,473,581
647,128,169,217,274,344,426,527
648,390,482,594,730,893,"1,085","1,317"
649,320,398,494,609,747,909,"1,106"
650,121,159,206,264,332,411,507
651,408,505,622,764,932,"1,131","1,374"
652,444,546,669,821,"1,000","1,213","1,469"
653,325,404,500,618,757,922,"1,121"
654,132,173,222,283,355,439,543
655,378,468,575,707,864,"1,049","1,275"
656,363,452,559,688,840,"1,020","1,238"
657,289,360,446,551,676,825,"1,004"
658,418,515,633,777,948,"1,150","1,395"
659,240,301,378,470,578,707,864
660,267,334,418,518,636,776,947
661,233,293,367,456,561,686,838
662,448,553,680,830,"1,011","1,226","1,487"
663,335,417,516,637,779,948,"1,151"
664,299,373,463,573,703,856,"1,043"
665,172,219,277,348,433,532,654
666,158,204,261,328,409,504,621
667,205,262,331,413,513,628,770
668,287,357,443,548,671,819,996
669,389,482,594,727,886,"1,076","1,306"
670,284,356,444,547,671,818,997
671,287,360,447,552,677,825,"1,006"
672,390,482,593,726,887,"1,078","1,310"
673,138,180,230,293,369,456,561
674,405,500,617,756,922,"1,120","1,360"
675,135,177,229,289,363,449,554
676,205,262,330,414,512,627,767
677,262,327,407,505,620,758,924
678,295,368,456,563,690,841,"1,023"
679,305,381,474,585,717,874,"1,062"
680,276,346,431,532,653,796,972
681,237,298,372,461,568,694,849
682,126,166,214,274,344,426,525
683,201,255,323,404,499,612,748
684,121,161,208,264,330,410,507
685,424,522,642,786,959,"1,164","1,413"
686,181,233,296,372,461,566,696
687,233,294,368,459,565,691,843
688,278,347,431,535,659,804,981
689,399,495,609,749,913,"1,109","1,345"
690,216,272,342,425,525,643,787
691,329,410,506,625,766,932,"1,134"
692,350,434,537,661,808,983,"1,193"
693,308,384,476,589,722,880,"1,072"
694,182,231,292,365,453,556,681
695,383,476,585,720,880,"1,069","1,299"
696,224,285,356,442,547,669,819
697,364,451,556,685,836,"1,017","1,236"
698,154,199,255,324,405,499,615
699,162,207,263,333,416,512,630
700,426,527,647,792,965,"1,171","1,421"
701,284,355,442,545,670,817,997
702,136,178,230,293,367,453,559
703,377,468,579,709,867,"1,053","1,278"
704,143,186,238,304,379,468,578
705,421,521,641,784,954,"1,158","1,404"
706,358,446,549,675,826,"1,005","1,220"
707,212,267,337,421,522,639,783
708,376,467,576,706,863,"1,048","1,273"
709,254,318,397,491,605,740,902
710,377,468,577,709,867,"1,053","1,278"
711,183,236,297,371,461,566,693
712,222,282,355,441,543,665,812
713,395,490,602,739,901,"1,095","1,329"
714,383,473,583,715,872,"1,060","1,288"
715,313,390,482,596,730,889,"1,083"
716,325,405,503,619,759,924,"1,125"
717,316,392,487,601,738,898,"1,093"
718,151,197,252,317,394,486,598
719,338,420,520,639,783,953,"1,159"
720,145,187,240,302,379,468,577
721,198,251,317,395,491,602,737
722,230,289,361,449,555,679,829
723,200,255,320,399,493,605,742
724,433,535,658,804,979,"1,188","1,440"
725,133,176,227,287,361,446,549
726,372,462,569,701,857,"1,041","1,264"
727,116,155,202,260,328,407,502
728,152,195,250,318,395,487,599
729,275,344,427,529,650,793,967
730,340,423,522,644,789,960,"1,168"
731,153,200,256,324,404,498,613
732,423,524,643,789,962,"1,168","1,415"
733,192,246,311,391,483,593,728
734,408,505,620,760,926,"1,124","1,364"
735,215,271,342,425,525,642,785
736,253,320,398,493,606,740,903
737,192,245,310,386,478,586,718
738,370,459,565,696,849,"1,032","1,254"
739,432,531,652,798,975,"1,183","1,435"
740,156,203,259,329,411,507,624
741,265,334,415,514,634,773,944
742,164,210,266,335,416,513,631
743,121,160,209,268,336,416,513
744,258,324,403,501,615,751,915
745,213,271,340,426,526,644,787
746,320,399,493,609,747,909,"1,107"
747,307,383,474,584,715,871,"1,062"
748,243,307,382,473,583,712,868
749,144,186,240,305,380,469,579
750,354,438,542,668,816,992,"1,206"
751,401,496,611,748,914,"1,109","1,346"
752,346,430,533,657,804,978,"1,189"
753,354,438,540,665,815,991,"1,204"
